ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri
2025-04-16T19:15:57.671000Z,0,Lake Of Fire - Live,Nirvana,MTV Unplugged In New York,spotify:track:4UJmPSJsBsIR1U0N79BU1g
2025-04-16T19:15:57.671000Z,59701,Lake Of Fire - Live,Nirvana,MTV Unplugged In New York,spotify:track:4UJmPSJsBsIR1U0N79BU1g
2025-04-16T19:16:57.372000Z,0,Dark Necessities,Red Hot Chili Peppers,The Getaway,spotify:track:2oaK4JLVnmRGIO9ytBE1bt
2025-04-16T19:21:41.144000Z,0,Dark Necessities,Red Hot Chili Peppers,The Getaway,spotify:track:2oaK4JLVnmRGIO9ytBE1bt
2025-04-16T19:26:50.982000Z,25975,Bleed The Freak,Alice In Chains,Facelift,spotify:track:60l2m3BD5VY0HSc3xmSpPI
2025-04-16T19:36:01.192000Z,18840,3 Libras,A Perfect Circle,Mer De Noms,spotify:track:5kHkaBN8OEQlmXfQkACxSt
2025-04-18T12:56:20.701Z,162115,School,Nirvana,Bleach,spotify:track:0EY1Z9UmZnYZyM7zHs6C0j
2025-04-18T12:59:03.331Z,220212,Rock and Roll - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),spotify:track:4PRGxHpCpF2yoOHYKQIEwD
2025-04-18T13:02:44.431Z,259616,Bones Of Birds,Soundgarden,King Animal,spotify:track:5rVGJzB86YpW3PzlHeptEE
2025-04-18T13:07:07.656Z,336817,Down In A Hole (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),spotify:track:7FRfYOql61DGDp9VPPe2qA
2025-04-18T13:12:46.290Z,21430,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire - Album Version (With Interlude)",Queens of the Stone Age,Songs For The Deaf,spotify:track:48OJGqiTSwiUmDwLpAlGZ6
