ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri
2025-05-02T11:10:08.301Z,95118,House of Doom,Black Label Society,Hangover Music Vol. VI,spotify:track:6ZWMn3sAtk3QcYTr2Y6m9e
2025-05-02T11:11:43.419Z,3216,Unsung,Helmet,Meantime,spotify:track:0z25tUQgEI4cIyNZ1TgWig
2025-05-02T11:11:46.635Z,341119,Black,Pearl Jam,Ten,spotify:track:5Xak5fmy089t0FYmh3VJiY2025-05-02T11:17:27.938Z,235092,Die Born,Days Of The New,Days Of The New (Red Album),spotify:track:2EHnZ1g4NKH0BI3Zg0Riko
2025-05-02T11:21:25.393Z,290712,Like a Stone,Audioslave,Audioslave,spotify:track:2xt2piJx6jlFkjS77YiqpL
2025-05-02T11:26:19.851Z,320693,Lost In Hollywood,System Of A Down,Mezmerize,spotify:track:0GrHWVTDsaWcD4nrCGr7VE
2025-05-02T11:31:41.057Z,140890,Outmotherfucker The Man,Scissorfight,New Hampshire,spotify:track:6QxeLKpbiDSkqofaLAB1uD
2025-05-02T11:34:03.157Z,208979,War,Sum 41,13 Voices,spotify:track:23Vf9hNoBN8AacpUUHbiRy
2025-05-02T11:37:32.867Z,278746,No One Knows,Queens of the Stone Age,Songs For The Deaf,spotify:track:6y20BV5L33R8YXM0YuI38N
2025-05-02T11:42:12.098Z,315553,Psycho,Muse,Drones,spotify:track:383QXk8nb2YrARMUwDdjQS
2025-05-02T11:47:28.587Z,278053,Cut Me Some Slack,"Paul McCartney, Dave Grohl, Krist Novoselic, Pat Smear",Sound City - Real to Reel,spotify:track:1zCtzRratZnh6aKQLguPxm
2025-05-02T11:52:07.895Z,244871,Wave Goodbye,Black Tooth Grin,Blossom & Decay,spotify:track:2fzdtg83bogr5s0XRMDYlA
2025-05-02T11:56:13.227Z,170749,Debaser,Pixies,Doolittle,spotify:track:5cy5IStIn7OSHDEIgXeDyq
2025-05-02T11:59:05.578Z,161893,Baby Got Shot,Verbena,Into The Pink,spotify:track:3Dez3CWIlFhjyBwZApFjqz
2025-05-02T12:01:47.906Z,171695,Wah Wah,King Gizzard & The Lizard Wizard,Nonagon Infinity,spotify:track:60xcBMOGWThcMhgVWFTApa
2025-05-02T12:04:42.670Z,212977,Dig Into Me,Superheaven,Ours Is Chrome,spotify:track:0FVBNWIlR3iXykrESfiLja
2025-05-02T12:08:18.349Z,378416,Comfortably Numb,Pink Floyd,The Wall,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
2025-05-02T12:14:41.008Z,234800,Just,Radiohead,The Bends,spotify:track:1dyTcli07c77mtQK3ahUZR
2025-05-02T12:18:36.370Z,175339,ATWA,System Of A Down,Toxicity,spotify:track:6gCVA6ja6g0foIsWv0RuSZ
2025-05-02T12:21:33.077Z,244853,Again,Alice In Chains,Alice In Chains,spotify:track:4ccNZzUTggy51RFvIzYRhT
2025-05-02T12:25:38.576Z,454287,Wake Up,Mad Season,Above (Deluxe Edition),spotify:track:5xhQOnyRJfRywbEwpkgoTy
2025-05-02T12:33:15.110Z,291529,Like a Stone,Audioslave,Audioslave,spotify:track:3YuaBvuZqcwN3CEAyyoaei
2025-05-02T12:38:09.676Z,168280,GOSSIP (feat. Tom Morello),"Måneskin, Tom Morello",GOSSIP (feat. Tom Morello),spotify:track:4GvPlSOKfN7aXEuGW8zKUx
2025-05-02T12:40:58.797Z,299940,Butterflies & Hurricanes,Muse,Absolution,spotify:track:5XpJOQgVEuM1FzgeGXzUvk
2025-05-02T12:46:01.376Z,252807,Street Spirit (Fade Out),Radiohead,The Bends,spotify:track:2QwObYJWyJTiozvs0RI7CF
2025-05-02T12:50:15.737Z,227834,Patience,Red Expendables,Patience,spotify:track:5Xu0JFNfTl1NurWLzm55AJ
2025-05-02T12:54:04.107Z,175782,When I Come Around,Green Day,Dookie,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz
2025-05-02T12:57:02.567Z,150864,"Blizzards, Buzzards, And Bastards",Scissorfight,Mantrapping For Sport And Profit,spotify:track:2UFYXSpEqBtfpRZXMGKVmV
